emp_no,last_name,first_name,gender,salary,to_date
10004,Koblick,Chirstian,M,40054,9999-01-01
10009,Peac,Sumant,F,60929,9999-01-01
10429,Improta,Martien,F,40000,9999-01-01
10432,Tiemann,Hisao,F,40000,9999-01-01
10442,Unno,Volkmar,M,46005,2001-03-13
10451,Ranta,Bodh,F,46275,9999-01-01
10453,Matzel,Tsvetan,F,40000,9999-01-01
10463,Zaiane,Ung,M,66480,9999-01-01
10466,Himler,Jiakeng,M,55318,2000-08-15
10486,Kossowski,Amstein,F,71692,9999-01-01
10494,Servieres,Yakkov,F,50094,9999-01-01
10504,Varker,Xiong,M,43931,9999-01-01
10018,Peha,Kazuhide,F,55881,9999-01-01
10512,Gihr,Udi,M,40000,9999-01-01
10519,Alencar,Yonghoan,F,40000,2001-10-13
10519,Alencar,Yonghoan,F,40000,1994-02-09
10522,Cesareni,Marke,F,40000,9999-01-01
10018,Peha,Kazuhide,F,55881,1992-07-29
10035,Chappelet,Alain,M,41538,9999-01-01
10538,Falby,Przemyslawa,M,72002,1998-12-13
10538,Falby,Przemyslawa,M,72002,1991-09-22
10541,Eiter,Godehard,M,50741,1986-10-01
10548,Gunderson,Ramalingam,M,90631,9999-01-01
10548,Gunderson,Ramalingam,M,90631,1991-10-04
10053,Zschoche,Sanjiv,F,67854,9999-01-01
10564,Thisen,Jianhao,M,46660,9999-01-01
10058,McFarlin,Berhard,M,52787,9999-01-01
10066,Schusler,Kwee,M,69736,9999-01-01
10067,Stavenow,Claudi,M,44642,9999-01-01
10575,Yeung,Theirry,M,40523,2000-11-22
10070,Garigliano,Reuven,M,55999,1995-10-18
10070,Garigliano,Reuven,M,55999,9999-01-01
10072,Sidou,Hironoby,F,40000,9999-01-01
10076,Ritzmann,Erez,F,47319,9999-01-01
10591,Hettesheimer,Hidde,F,55131,1988-09-20
10088,Syrzycki,Jungsoon,F,65957,1992-03-21
10608,Talmor,Adhemar,F,40000,1991-06-02
10617,Angel,Hidekazu,F,40000,2001-10-03
10088,Syrzycki,Jungsoon,F,65957,9999-01-01
10100,Haraldson,Hironobu,F,54398,9999-01-01
10623,Danlos,Aleksander,F,60268,1996-02-11
10623,Danlos,Aleksander,F,60268,9999-01-01
10628,Krogh,Krisda,M,41650,9999-01-01
10629,Francisci,Lalit,F,87045,2001-12-07
10631,Chaudhuri,Inderjeet,M,40000,9999-01-01
10103,Birch,Akemi,M,68158,9999-01-01
10642,Narlikar,Hirochika,M,40000,9999-01-01
10653,Feinberg,Otmar,M,40000,9999-01-01
10108,Giveon,Lunjin,M,40000,2001-10-20
10108,Giveon,Lunjin,M,40000,1999-12-06
10116,Czap,Dayanand,F,44034,1995-12-03
10671,Rebaine,Parviz,M,74037,9999-01-01
10672,Zeilberger,Bluma,M,64663,1996-04-19
10116,Czap,Dayanand,F,44034,1998-11-01
10676,Danley,Valeri,F,58226,9999-01-01
10126,Valtorta,Kayoko,M,40000,9999-01-01
10129,Peir,Armond,M,40000,9999-01-01
10693,Daescu,Berhard,F,40000,9999-01-01
10694,Straney,Rildo,M,53020,2001-07-11
10130,Casperson,Nishit,M,40000,9999-01-01
10134,Siprelle,Diederik,M,40000,9999-01-01
10702,Szemeredi,Bader,M,46581,9999-01-01
10134,Siprelle,Diederik,M,40000,1993-12-02
10138,Shimshoni,Perry,M,53574,9999-01-01
10867,Gyorkos,Billur,M,40000,2002-03-22
10718,Rullman,Adib,M,75473,9999-01-01
10726,Minakawa,Zita,F,46315,9999-01-01
10731,Peak,Fumitaka,M,77892,2000-10-09
10734,Erdi,Sachar,M,47377,9999-01-01
10745,Ranze,Poorav,F,40000,9999-01-01
10749,Brendel,King,M,60829,9999-01-01
10751,Ushiama,Jordanka,M,50052,2000-12-05
10878,Deville,Lakshmi,M,72102,9999-01-01
10767,Doering,Monique,F,40651,9999-01-01
10768,Candan,Ishfaq,M,65717,9999-01-01
10879,Chleq,Muzhong,F,65651,9999-01-01
10883,Champarnaud,Shimshon,M,40000,9999-01-01
10777,Kemmerer,Mizuhito,F,40000,2001-03-27
10778,Merey,Selwyn,M,64996,9999-01-01
10895,Petersohn,Vishwani,M,67103,1986-12-25
10791,Sgarro,Tadahiko,M,40000,9999-01-01
10795,Naudin,Supot,M,84206,9999-01-01
10803,Velasco,Katsuyuki,F,54260,2002-04-02
10895,Petersohn,Vishwani,M,67103,1987-04-13
10909,Atchley,Georgi,M,80935,9999-01-01
10808,Leijenhorst,Chenxi,M,40000,9999-01-01
10912,Fasbender,Oscal,M,45665,1999-09-26
10918,Reghbati,Susumu,M,59521,1990-10-10
10835,Kermarrec,Tomoyuki,M,40000,9999-01-01
10836,Leivant,Jianhua,F,65502,1991-07-01
10836,Leivant,Jianhua,F,65502,9999-01-01
10844,Koprowski,Dipayan,M,40000,9999-01-01
10847,Danley,Theirry,M,40000,9999-01-01
10848,Bratsberg,Fen,F,50475,9999-01-01
11009,Axelband,Alper,F,75111,9999-01-01
11012,Speckmann,Taegyun,F,72092,2000-03-16
11012,Speckmann,Taegyun,F,72092,9999-01-01
11019,Huttel,Leon,M,69387,9999-01-01
11021,Henders,Srinidhi,F,62670,9999-01-01
11027,Cappello,Remzi,M,40000,9999-01-01
11028,Krider,Miyeon,M,41111,1997-09-04
11031,Walstra,Ottavia,M,71654,9999-01-01
11037,Maliniak,Lansing,M,40000,9999-01-01
11038,Beidas,Jinya,M,44993,9999-01-01
11042,Breugel,Gou,F,40000,9999-01-01
11048,Demke,Jaques,M,65697,9999-01-01
11050,Katiyar,Elvis,M,52251,9999-01-01
11051,Erol,Przemyslawa,F,40000,9999-01-01
11070,Raney,Adib,M,40000,9999-01-01
11081,Boyle,Barry,M,65686,9999-01-01
11085,Thummel,Hailing,M,66437,9999-01-01
11100,Cochrane,Berna,M,40000,9999-01-01
11106,Iwayama,Aris,F,71446,9999-01-01
11110,Birjandi,Valeska,F,43063,1992-03-30
11110,Birjandi,Valeska,F,43063,1988-09-23
11112,Mukaidono,Boaz,M,40000,9999-01-01
11113,Peng,Shahab,F,66401,9999-01-01
11121,Kakkad,Vugranam,F,40000,9999-01-01
11133,Azulay,Nalini,M,40000,9999-01-01
11134,Rajcani,Sachar,F,58731,9999-01-01
11137,Luca,Hugh,M,40000,9999-01-01
11139,Homond,Bogdan,F,63596,9999-01-01
11146,Masand,Ishfaq,F,96019,9999-01-01
11148,Botman,Zhanqiu,F,56344,1991-12-12
11148,Botman,Zhanqiu,F,56344,9999-01-01
11162,Narlikar,Kauko,F,69873,9999-01-01
11180,Bojadziev,Mitsuyuki,F,40000,9999-01-01
11197,Fordan,Tadahiro,M,88741,9999-01-01
11203,Yetto,Sakthirel,M,68049,1996-06-15
11204,Covnot,Diederik,M,40000,9999-01-01
11207,Gips,Saeed,F,49728,9999-01-01
11208,Valtorta,Saniya,F,83660,9999-01-01
11211,Rissland,Yurij,M,72668,9999-01-01
11217,Mawatari,Kellie,M,40000,9999-01-01
11232,Crelier,Hidefumi,M,43863,9999-01-01
11240,Condotta,Kiam,M,61739,9999-01-01
11249,Cyre,Randi,M,43324,9999-01-01
11251,Chinal,Bezalel,M,69432,9999-01-01
11268,Petersohn,Aimee,F,40000,9999-01-01
11275,Eppinger,Hitomi,F,58382,9999-01-01
11290,Dredge,Visit,M,65034,9999-01-01
11291,Glowinski,Gino,M,54307,2001-04-15
11295,Lanzelotte,Abdelkader,M,66622,9999-01-01
11319,Marrakchi,Pranas,F,40000,9999-01-01
11320,McAlpine,Atilio,M,45118,9999-01-01
11322,Pocchiola,Nathalie,F,43021,9999-01-01
11324,Billingsley,Kauko,F,54288,9999-01-01
11338,Hanratty,Kwangsub,M,82210,9999-01-01
11339,Massonet,Flemming,M,40000,9999-01-01
11347,Jonsson,Anneli,M,41524,9999-01-01
11365,Shinomoto,Toshimi,M,56463,9999-01-01
11376,Suomi,Valery,M,46964,9999-01-01
11380,Pelc,Kenroku,M,53345,9999-01-01
11385,Ullian,Shiv,M,40000,9999-01-01
11386,Assaf,Alselm,F,47726,9999-01-01
11393,Junot,Junsik,M,40000,9999-01-01
11398,Peir,Oscar,M,44625,9999-01-01
11404,Borovoy,Bedrich,M,42907,9999-01-01
11415,Anido,Sanjiv,M,40000,9999-01-01
11421,Msuda,Josyula,F,52416,9999-01-01
11431,Picht,Youngkon,M,44804,2001-03-03
11441,Aingworth,Marlo,M,67352,9999-01-01
11449,Asser,Kotesh,M,61434,9999-01-01
11459,Suomi,Duke,M,40000,9999-01-01
11461,Cronau,Kish,M,49398,1997-07-20
11469,Giaccio,Guttorm,M,44625,9999-01-01
11477,Narahari,Fox,M,40000,1996-09-12
11501,Ranum,Karsten,F,48608,2002-03-20
11506,Picel,Rance,F,89747,9999-01-01
11509,Feldhoffer,Aleksander,M,40000,9999-01-01
11513,Mahnke,Otmar,M,82525,9999-01-01
11515,Basawa,Ulf,F,70182,9999-01-01
11518,Oxman,Jinxi,M,40000,9999-01-01
11524,Standera,Xiadong,M,41081,9999-01-01
11527,Boyle,Alagu,M,60212,9999-01-01
11528,Dolinsky,Zito,M,44026,9999-01-01
11537,Pehl,DAIDA,M,96023,9999-01-01
11554,Taubenfeld,Subhash,M,46065,9999-01-01
11554,Taubenfeld,Subhash,M,46065,1999-02-21
11555,Perfilyeva,Kotesh,M,40000,9999-01-01
11562,Alencar,Rimli,M,82255,1994-12-13
11567,Mitzlaff,Teiji,M,86261,9999-01-01
11568,Fujisaki,Martins,M,54673,9999-01-01
11578,Rosti,Edwin,F,40000,2002-02-17
11588,Panangaden,Kaijung,M,40000,1995-06-12
11603,Swen,Herb,F,69180,9999-01-01
11607,Foong,Tomokazu,F,49584,9999-01-01
11615,Isaak,Shem,F,46591,9999-01-01
11624,Gammage,Adil,M,42001,9999-01-01
11628,Malinowski,Fan,M,43966,1995-04-23
11628,Malinowski,Fan,M,43966,9999-01-01
11640,Coorg,Valeri,M,52520,9999-01-01
11647,Nitsche,Magy,M,40000,9999-01-01
11660,Stenning,Gill,F,65758,9999-01-01
11673,Felder,Henk,F,40000,9999-01-01
11676,Ferriere,Valeri,F,43310,9999-01-01
11681,Benzmuller,Fumitake,F,40000,9999-01-01
11684,Gide,Oksana,F,68753,9999-01-01
11696,Rothe,Dante,M,51633,9999-01-01
11705,Hofmeyr,Arve,M,79701,1990-04-06
11705,Hofmeyr,Arve,M,79701,1994-06-30
11732,Ranft,Sanjoy,F,40000,2002-07-12
11732,Ranft,Sanjoy,F,40000,9999-01-01
11735,Picci,Amalendu,M,40000,9999-01-01
11738,Lichtman,Tadahiro,M,58432,1995-06-27
11746,Marrakchi,Koichi,F,55951,9999-01-01
11747,Kossowski,Aksel,M,90239,1999-01-16
11751,Emiris,Jiafu,M,40000,9999-01-01
11764,Anick,Sanjay,F,64875,9999-01-01
11769,Lampe,Chandrasekaran,M,40000,9999-01-01
11769,Lampe,Chandrasekaran,M,40000,1999-04-18
11772,Penz,Gaurav,F,61295,9999-01-01
11797,Thambidurai,Chenxi,M,88050,9999-01-01
11797,Thambidurai,Chenxi,M,88050,1996-09-28
11805,Grandbois,Rosine,M,40000,1991-02-05
11810,Bhattacharjee,Amabile,M,41256,9999-01-01
11813,Muhlberg,Gita,F,94687,1991-07-20
11817,Markovitch,Niranjan,M,50638,9999-01-01
11832,Zlotek,Arto,M,40000,9999-01-01
11838,Nitta,Taiji,M,68674,1991-05-09
11844,Demeyer,Shawna,M,78049,9999-01-01
11853,Kusakabe,Zeljko,F,61941,9999-01-01
11857,Farrag,Divier,F,94805,9999-01-01
11864,Kriebel,Pradeep,F,52517,9999-01-01
11871,Sommen,Nalini,M,67424,9999-01-01
11872,Riexinger,Cheong,M,43159,9999-01-01
11883,Bhattacharjee,Nectarios,F,58135,1990-10-28
11894,Validov,Mitchel,M,56198,9999-01-01
11897,Setlzner,Cordelia,M,80049,9999-01-01
11906,Boguraev,Hideo,F,81324,9999-01-01
11915,Mawatari,Miomir,M,58042,9999-01-01
11931,Chiodo,Gunilla,F,73369,9999-01-01
11933,Erman,Basil,M,56130,9999-01-01
11949,Harbusch,Martijn,M,40000,9999-01-01
11983,Hedayat,Jaana,M,40000,9999-01-01
11987,Schaar,Vidya,F,40000,1997-12-04
11987,Schaar,Vidya,F,40000,1993-09-14
11988,Chinin,Chinya,F,57652,2001-12-31
11993,Dalphin,Marit,M,56505,9999-01-01
12011,Coorg,Zhilian,F,85833,9999-01-01
12025,Heiserman,Jaewoo,F,62126,1990-06-09
12033,Serot,Visit,M,49992,1999-02-07
12036,Ratzlaff,Mads,M,67143,1995-07-01
12036,Ratzlaff,Mads,M,67143,9999-01-01
12037,Katzenelson,Arunas,M,47805,9999-01-01
12050,Tchuente,Yuchang,F,46704,9999-01-01
12052,Khasidashvili,Masako,F,40000,1988-08-29
12062,Worfolk,Margareta,M,44199,9999-01-01
12069,Burnard,Ayonca,M,51928,9999-01-01
12070,Shokrollahi,Ger,M,50233,9999-01-01
12076,Siprelle,Karlis,F,75381,9999-01-01
12082,Yamaashi,Xinan,M,72118,9999-01-01
12087,Jumpertz,Weijing,M,45432,1993-03-24
12089,Socorro,Bilhanan,M,46288,9999-01-01
12099,Kuzuoka,Nobuyoshi,M,104610,9999-01-01
12103,Erie,Becky,M,56188,1992-09-18
12112,Avouris,Satyanarayana,M,76538,9999-01-01
12122,Krone,Satoru,F,46398,9999-01-01
12123,Syrzycki,Xiahua,F,64879,9999-01-01
12125,Erman,Shounak,F,41215,9999-01-01
12125,Erman,Shounak,F,41215,1999-09-01
12128,Barreiro,Yannik,F,81527,1998-11-25
12149,Grandbois,Suebskul,M,109934,9999-01-01
12159,Perly,Shem,M,61210,9999-01-01
12165,Maquelin,Xiaobin,F,41951,9999-01-01
12173,Nanard,Adel,M,58321,2000-05-20
12183,Iisaku,Harngdar,M,40000,9999-01-01
12192,Klyachko,Feiyu,F,41625,9999-01-01
12205,Rossi,Sushant,M,40000,9999-01-01
12206,Janetzko,Barton,F,40000,9999-01-01
12218,Strooper,Yaghout,M,40000,9999-01-01
12221,Melter,Vincent,M,56736,9999-01-01
12222,Holburn,Abdelwaheb,F,55840,9999-01-01
12223,Koyama,Niteen,F,54459,9999-01-01
12247,Penttonen,Subbu,F,59183,9999-01-01
12249,Sadowski,Eldridge,M,70099,9999-01-01
12254,Stafford,Chaitali,M,44848,1989-10-31
12256,Reghbati,Guadalupe,F,40000,9999-01-01
12264,Pagter,Mart,M,51816,9999-01-01
12270,Kornyak,Shakhar,M,52840,9999-01-01
12272,Grandbois,Behnaam,F,43811,9999-01-01
12274,Papadias,Garnik,M,40000,1989-01-18
12276,Lenart,Yongmin,M,59844,2001-09-25
12303,Braccini,Godehard,M,40000,1988-07-19
12308,Cronau,Mototsugu,M,58741,1996-09-20
12308,Cronau,Mototsugu,M,58741,9999-01-01
12311,Lubachevsky,Susanne,M,40000,9999-01-01
12312,Velasco,Chenye,F,52344,1996-12-18
12327,Bruckman,DAIDA,M,67449,9999-01-01
12335,Genin,Arnould,F,40000,2000-06-19
12341,Luga,Rasiah,M,40000,9999-01-01
12343,Slaats,Sorina,M,52134,9999-01-01
12343,Slaats,Sorina,M,52134,2000-09-03
12365,Bisiani,Kamakshi,M,40000,9999-01-01
12373,Driscoll,Mooi,F,75986,9999-01-01
12395,Felder,Sanjit,M,66909,9999-01-01
12399,Luga,Mihalis,M,85582,9999-01-01
12411,Ibel,Shao,M,97610,9999-01-01
12413,Gadepally,Hugh,F,53179,9999-01-01
12415,Sluis,Uri,M,53615,1998-10-10
10921,Bahi,Mara,F,72601,9999-01-01
12417,Spelt,Dannz,F,67342,9999-01-01
10924,Atchley,Hironoby,F,84783,9999-01-01
12422,Demos,Berhard,F,71376,9999-01-01
10927,Scallan,Gal,M,51819,9999-01-01
10936,Schicker,Mountaz,F,40000,9999-01-01
12451,Marzano,Pramod,M,40000,1995-03-18
12454,Farris,Kerryn,F,41347,9999-01-01
10943,Skafidas,Berna,M,45890,9999-01-01
12464,Milicic,Shai,F,50448,9999-01-01
12475,Roison,Filipe,M,40000,9999-01-01
12478,Hopewell,Yahiko,M,50404,1998-12-11
12478,Hopewell,Yahiko,M,50404,1997-09-05
12487,Reghbati,Mona,F,40000,9999-01-01
12487,Reghbati,Mona,F,40000,1998-12-11
12489,Munck,Arnould,F,63306,9999-01-01
12490,Muchinsky,Jackson,F,40000,9999-01-01
10965,Braunschweig,Eckart,M,61654,9999-01-01
12493,Menhardt,Filipp,F,40000,1988-12-04
12497,Penz,Stein,M,81191,9999-01-01
12501,Matheson,Morrie,F,76082,9999-01-01
12504,Rosaz,Adly,F,40000,9999-01-01
12514,Melter,Tomofumi,M,54241,9999-01-01
12528,Cincotta,Conor,F,40000,9999-01-01
12534,Gerlach,Yongmao,M,66715,9999-01-01
10969,Noriega,Premal,M,40000,9999-01-01
12541,Nanard,Shih,M,93105,9999-01-01
12542,Bouloucos,Kazuhide,F,44176,9999-01-01
12551,Tzvieli,Jeane,M,40000,9999-01-01
12553,Vesna,Aral,M,40000,9999-01-01
10974,Papsdorf,Muneo,M,56005,9999-01-01
12557,Kopetz,Stafford,M,41840,9999-01-01
12557,Kopetz,Stafford,M,41840,1994-09-23
10986,Schiper,Masako,M,43900,9999-01-01
10988,Deyuan,Chinya,M,54174,9999-01-01
12589,Chleq,Anoosh,M,59441,9999-01-01
12596,Roisin,Breannda,M,40000,9999-01-01
12601,Simkin,Ghassan,M,41714,9999-01-01
10989,Candan,Sumali,F,46406,9999-01-01
12608,Mondadori,Nectarios,M,40000,9999-01-01
10990,Foote,Shin,M,40000,9999-01-01
12709,Botman,Ronghao,M,45510,9999-01-01
12635,Restivo,Xinyu,F,40000,1995-04-07
12635,Restivo,Xinyu,F,40000,9999-01-01
12637,Karner,Poorav,M,44370,1999-01-08
12638,Seiwald,Yuqun,F,56677,9999-01-01
12642,Gips,Suebskul,F,68271,9999-01-01
12651,Bael,Pragnesh,M,75150,9999-01-01
12662,Alvarado,Leucio,M,69016,9999-01-01
12663,Stellhorn,Nobuyoshi,M,49966,9999-01-01
12664,Parveen,Zhonghua,M,40000,2001-03-12
12664,Parveen,Zhonghua,M,40000,9999-01-01
12717,Jiafu,Tzu,F,53194,9999-01-01
12678,Borovoy,Carrsten,M,44529,2000-04-22
12689,Boudaillier,Luerbio,M,59689,9999-01-01
12691,Gils,Oddvar,M,48493,9999-01-01
12694,Luders,Kazuhira,M,53019,1998-05-30
12697,Brizzi,Uri,M,40000,9999-01-01
12722,Cheshire,Elliott,F,62325,9999-01-01
12726,Panwar,Fumitake,M,61177,9999-01-01
12729,Rahier,Nahla,F,51796,2000-09-10
12729,Rahier,Nahla,F,51796,9999-01-01
12846,Cyne,Krisda,F,63962,2001-01-15
12848,Smeets,Kazuhide,M,40000,9999-01-01
12853,Brobst,Mang,M,47160,1996-10-03
12730,Perl,Barry,F,40000,1998-03-24
12863,Matheson,Leif,M,62803,9999-01-01
12872,Schmittgen,Marl,F,56040,9999-01-01
12876,Goodrum,Apostol,M,42277,2000-12-24
12879,Eugenio,Baruch,M,40000,9999-01-01
12888,Erni,Martien,F,41673,1995-04-07
12890,Casley,Neven,F,66803,9999-01-01
12893,Crouzet,Licheng,M,50803,9999-01-01
12895,Serot,Roddy,M,40000,9999-01-01
12905,Gecsei,Munehiro,M,58659,9999-01-01
12922,Porenta,Jacqueline,M,69441,1993-09-16
12926,Luby,Heekeun,M,68314,9999-01-01
12937,Cincotta,Arup,M,59206,1992-12-14
12940,Farrar,Odinaldo,F,49760,9999-01-01
12941,Perelgut,Tommaso,F,67069,9999-01-01
12949,Asrin,Geoff,F,40000,9999-01-01
12951,Keirsey,Mohammad,F,60566,1994-07-27
12951,Keirsey,Mohammad,F,60566,1988-06-26
12972,Azevdeo,Juyoung,M,40000,1990-08-07
12974,Frolund,Gift,M,93034,1994-11-03
12977,Markovitch,Byong,M,61326,9999-01-01
12983,Hambrick,Elliott,F,57252,9999-01-01
13012,Harbusch,Florina,M,40000,2002-05-24
13030,Kroll,Yahiko,M,51770,9999-01-01
13046,Stafford,Vivian,M,40000,9999-01-01
13047,Chelton,Atilio,M,52323,9999-01-01
13049,Naudin,Fan,F,60266,1986-01-08
13062,Baak,Xinglin,M,55665,2000-05-31
13075,Morrin,Rosella,M,40000,9999-01-01
13075,Morrin,Rosella,M,40000,1990-09-02
13076,Skafidas,Deniz,F,50582,9999-01-01
13096,Armand,Ibibia,M,52544,9999-01-01
13103,Ellozy,Srinidhi,F,40000,9999-01-01
13113,Landherr,Kwun,M,66941,1996-10-07
13124,Garnick,Quingbo,F,73785,9999-01-01
12731,Waymire,Yongmao,F,40000,9999-01-01
12732,Takanami,Mara,M,74436,9999-01-01
13133,Senzako,Guther,M,67777,1991-06-13
13133,Senzako,Guther,M,67777,9999-01-01
13134,Chepyzhov,Lorien,M,51227,9999-01-01
12734,Frijda,Gil,M,40000,9999-01-01
13144,Nollmann,Persi,M,52825,9999-01-01
13146,Erie,Haldon,M,61398,9999-01-01
13147,Ginesta,Shichao,M,77429,9999-01-01
12755,Rodite,Rildo,F,40196,9999-01-01
13156,Millington,Akeel,M,48285,9999-01-01
13165,Benner,Lucian,F,42796,9999-01-01
13168,Stentiford,Munir,F,49210,9999-01-01
13170,Bernardeschi,Cheong,M,49012,1998-09-21
13170,Bernardeschi,Cheong,M,49012,9999-01-01
13171,Birnbaum,Anoosh,M,40000,9999-01-01
13173,Horswill,Arve,M,46354,9999-01-01
13179,Janocha,Moty,M,90233,9999-01-01
13182,Rodite,Kokou,M,46832,9999-01-01
13186,Barbanera,Kyoichi,M,93138,9999-01-01
13192,Flowers,Rosita,M,43986,9999-01-01
13192,Flowers,Rosita,M,43986,2001-01-19
13202,Scharstein,Aram,F,51915,9999-01-01
12759,Kuszyk,LiMin,M,49963,1996-01-02
13210,Klassen,Jianhua,M,83961,9999-01-01
13210,Klassen,Jianhua,M,83961,1997-08-10
13213,Billawala,Hein,M,61131,9999-01-01
12773,Lovengreen,Jenwei,M,65556,9999-01-01
13221,Famili,Premsyl,F,47724,1998-10-21
13232,Fujisaki,Mitchel,F,40000,9999-01-01
13233,Chvatal,Alselm,M,49414,9999-01-01
13238,Foote,Ebru,F,40000,9999-01-01
13240,Pileggi,King,M,49018,9999-01-01
13243,Huxford,Fay,M,67269,1999-11-11
13250,Schusler,Zeydy,M,47829,9999-01-01
12775,Berendt,Mariangiola,F,69805,1993-10-17
12775,Berendt,Mariangiola,F,69805,2002-04-05
12790,Perl,Gunilla,F,87760,9999-01-01
13272,Jiang,Arun,F,40000,9999-01-01
13276,Seuren,Yechiam,M,65836,9999-01-01
13288,Broomell,Muneo,F,40000,9999-01-01
12795,Fordan,Masoud,M,56969,9999-01-01
13291,Stamatiou,Georg,M,54720,9999-01-01
13299,Butner,Guiseppe,M,40000,1998-09-13
13302,Alencar,Mack,F,40000,9999-01-01
13305,Herath,Bikash,M,104969,1995-01-19
13315,Stroustrup,Sakthirel,F,40000,9999-01-01
13332,Pearson,Nidapan,F,40000,9999-01-01
13333,Hennebert,Yoshinari,M,50997,9999-01-01
13333,Hennebert,Yoshinari,M,50997,1998-08-30
13341,Doering,Bodh,F,40000,9999-01-01
13343,Usery,Heon,M,40000,9999-01-01
13343,Usery,Heon,M,40000,1995-05-06
13368,Klassen,Kiyokazu,M,52872,9999-01-01
13371,Riexinger,Nakhoon,F,40000,9999-01-01
13373,Naumovich,Juichirou,M,82749,1993-04-05
13373,Naumovich,Juichirou,M,82749,9999-01-01
13385,Buchter,Claudi,M,40000,9999-01-01
13386,Sgarro,Khosrow,F,91420,9999-01-01
12798,Beeson,Lillian,F,81145,9999-01-01
13389,Cmelik,Divine,F,40000,9999-01-01
13392,Beidas,Fumitake,F,69221,9999-01-01
13396,Aumann,Chuanyi,F,40000,9999-01-01
13402,Dulli,Augustine,M,40000,2002-02-26
13402,Dulli,Augustine,M,40000,9999-01-01
12803,Boissier,Gad,M,91789,9999-01-01
13405,Baba,Randy,F,60799,9999-01-01
13407,Chenoweth,Gio,M,60348,9999-01-01
13408,Lagarias,Sreekrishna,M,52479,9999-01-01
13415,Speer,Nathalie,F,61838,9999-01-01
13422,Gerlach,Vishwani,F,59466,1991-11-21
13422,Gerlach,Vishwani,F,59466,9999-01-01
13442,Miake,Giordano,M,40000,9999-01-01
13443,Puppo,Mayuko,M,40000,9999-01-01
13445,Dehkordi,Renee,M,53194,9999-01-01
13451,Weiland,Gretta,M,40000,9999-01-01
13457,Parfitt,Shooichi,M,40812,9999-01-01
13458,Nivat,Feipei,F,41375,2002-02-02
13458,Nivat,Feipei,F,41375,9999-01-01
12803,Boissier,Gad,M,91789,1999-08-30
13463,Berstel,Theron,F,40000,9999-01-01
13465,Rehfuss,Sasan,M,49821,9999-01-01
12815,Junot,Sushant,M,65073,9999-01-01
13493,Jullig,Uinam,F,40000,9999-01-01
13504,Mandell,Parto,F,41895,9999-01-01
13521,Tasistro,Jaewoo,F,40000,1991-02-18
12816,Ramras,Freyja,F,66194,1999-09-08
13524,Porotnikoff,Chaoyi,F,52849,9999-01-01
12819,Gubsky,Mountaz,M,48455,9999-01-01
13535,Schlenzig,Arunas,F,40000,9999-01-01
13697,Weedon,Shuichi,M,40000,9999-01-01
13546,Brookner,Aimee,F,50295,9999-01-01
13549,Koprowski,Matk,M,40000,9999-01-01
13552,Capobianchi,Ingmar,M,73346,9999-01-01
13560,Jeong,Sibyl,M,40000,1998-03-12
13576,Engberts,Jungsoon,F,73022,9999-01-01
13576,Engberts,Jungsoon,F,73022,1997-02-18
13578,Christianini,Tadahiko,F,62885,1997-04-13
13698,Mitchem,Domenico,M,57541,1997-04-20
13605,Encarnacion,Dmitry,F,70404,9999-01-01
13621,Haddadi,Fei,M,73192,9999-01-01
13624,Yurek,Zhigen,M,40000,9999-01-01
