emp_no,first_name,last_name,title,from_date,to_date,hire_date,birth_date
12308,Mototsugu,Cronau,Senior Staff,1991-08-11,9999-01-01,1985-08-11,1952-02-17
12311,Susanne,Lubachevsky,Senior Engineer,1985-10-22,9999-01-01,1985-10-22,1955-02-11
12341,Rasiah,Luga,Senior Engineer,1990-05-25,9999-01-01,1985-05-25,1955-02-13
12365,Kamakshi,Bisiani,Senior Engineer,1994-09-12,9999-01-01,1985-04-07,1954-01-21
12373,Mooi,Driscoll,Senior Staff,1993-11-11,9999-01-01,1985-03-22,1953-04-26
12422,Berhard,Demos,Senior Staff,2001-06-07,9999-01-01,1985-07-20,1954-12-04
12497,Stein,Penz,Senior Staff,1997-09-25,9999-01-01,1985-04-05,1953-08-26
12514,Tomofumi,Melter,Engineer,1999-11-13,9999-01-01,1985-12-03,1952-11-14
12534,Yongmao,Gerlach,Senior Engineer,1985-08-14,9999-01-01,1985-08-14,1953-01-31
12608,Nectarios,Mondadori,Senior Staff,2000-02-22,9999-01-01,1985-06-23,1955-10-27
12635,Xinyu,Restivo,Senior Engineer,2000-02-03,9999-01-01,1985-11-27,1952-11-09
12662,Leucio,Alvarado,Engineer,1994-08-27,9999-01-01,1985-08-27,1952-08-02
12709,Ronghao,Botman,Senior Engineer,2001-02-25,9999-01-01,1985-12-02,1955-08-09
12722,Elliott,Cheshire,Senior Staff,1985-03-29,9999-01-01,1985-03-29,1955-09-23
12773,Jenwei,Lovengreen,Senior Engineer,1994-03-05,9999-01-01,1985-03-05,1952-06-26
12803,Gad,Boissier,Senior Staff,1990-03-16,9999-01-01,1985-03-16,1952-05-12
12815,Sushant,Junot,Senior Staff,1993-02-27,9999-01-01,1985-02-27,1955-03-25
12863,Leif,Matheson,Senior Engineer,1990-09-06,9999-01-01,1985-09-06,1954-08-02
12890,Neven,Casley,Senior Staff,1985-10-31,9999-01-01,1985-10-31,1955-10-05
12926,Heekeun,Luby,Senior Staff,1992-12-24,9999-01-01,1985-12-24,1952-04-24
12983,Elliott,Hambrick,Staff,1999-06-28,9999-01-01,1985-12-01,1954-04-07
13124,Quingbo,Garnick,Senior Staff,1985-03-17,9999-01-01,1985-03-17,1955-11-06
13133,Guther,Senzako,Senior Staff,1991-09-03,9999-01-01,1985-09-03,1955-06-21
13146,Haldon,Erie,Senior Staff,1985-05-25,9999-01-01,1985-05-25,1953-11-01
13147,Shichao,Ginesta,Senior Staff,1998-06-29,9999-01-01,1985-12-16,1955-12-28
13182,Kokou,Rodite,Engineer,1999-03-03,9999-01-01,1985-08-27,1954-02-25
13238,Ebru,Foote,Senior Staff,1998-10-10,9999-01-01,1985-10-30,1953-02-23
13250,Zeydy,Schusler,Senior Engineer,1998-10-27,9999-01-01,1985-11-19,1954-02-20
13272,Arun,Jiang,Senior Staff,1985-03-10,9999-01-01,1985-03-10,1953-10-11
13402,Augustine,Dulli,Engineer,1999-09-12,9999-01-01,1985-09-15,1955-05-15
13443,Mayuko,Puppo,Senior Engineer,1996-12-25,9999-01-01,1985-03-06,1954-07-22
13458,Feipei,Nivat,Senior Engineer,1995-03-02,9999-01-01,1985-12-12,1954-12-21
13465,Sasan,Rehfuss,Engineer,1999-03-12,9999-01-01,1985-07-08,1953-11-01
13524,Chaoyi,Porotnikoff,Senior Staff,2000-10-27,9999-01-01,1985-07-27,1955-11-06
13552,Ingmar,Capobianchi,Senior Staff,1993-03-23,9999-01-01,1985-03-23,1955-03-23
13605,Dmitry,Encarnacion,Senior Staff,1991-09-29,9999-01-01,1985-09-29,1953-08-02
13648,Zejun,Lamba,Technique Leader,1985-11-16,9999-01-01,1985-11-16,1954-03-28
13653,Kristen,Iivonen,Senior Staff,2000-01-17,9999-01-01,1985-07-11,1955-01-01
13680,Denny,Speer,Staff,1996-02-05,9999-01-01,1985-03-18,1953-08-08
13697,Shuichi,Weedon,Technique Leader,1985-06-20,9999-01-01,1985-06-20,1953-04-07
13721,Sugwoo,Delgrossi,Senior Staff,2001-09-20,9999-01-01,1985-08-25,1952-07-01
13727,Vitali,Merey,Staff,1999-10-07,9999-01-01,1985-09-21,1952-08-13
13792,Valery,Sury,Senior Staff,1991-07-27,9999-01-01,1985-07-27,1953-05-06
13815,Guadalupe,Plotkin,Senior Engineer,1993-09-09,9999-01-01,1985-09-09,1953-04-19
13846,Guiseppe,Welham,Senior Staff,1985-03-20,9999-01-01,1985-03-20,1952-08-01
13884,Kensei,Swift,Engineer,1998-12-21,9999-01-01,1985-02-18,1953-05-03
13942,Elzbieta,Esteva,Technique Leader,1997-10-13,9999-01-01,1985-06-13,1953-04-17
13951,Mooi,Genther,Senior Staff,1990-12-28,9999-01-01,1985-12-28,1953-01-28
13962,Maris,Ghelli,Senior Engineer,1994-10-26,9999-01-01,1985-05-17,1955-11-14
13969,Jianwen,Chandrasekhar,Technique Leader,1985-05-29,9999-01-01,1985-05-29,1953-06-06
13999,Florian,Crouzet,Senior Staff,2000-02-25,9999-01-01,1985-06-11,1952-11-25
14005,Vojin,Stellhorn,Technique Leader,1985-05-10,9999-01-01,1985-05-10,1955-04-08
14034,Aloys,Seghrouchni,Senior Staff,1991-08-26,9999-01-01,1985-08-26,1952-05-07
14118,Kasturi,Anido,Senior Staff,1985-04-06,9999-01-01,1985-04-06,1953-03-09
14167,Adas,Hertweck,Senior Engineer,1994-12-01,9999-01-01,1985-12-01,1953-08-11
14242,Sudhanshu,Benaini,Senior Staff,1992-06-27,9999-01-01,1985-06-27,1955-03-14
14292,Susanna,Vigier,Senior Staff,1997-02-18,9999-01-01,1985-09-16,1953-08-21
14340,Vitaly,Wixon,Senior Engineer,1995-12-19,9999-01-01,1985-04-03,1955-01-03
14354,Mong,Bojadziev,Senior Staff,1990-08-28,9999-01-01,1985-08-28,1954-05-30
14422,Toshimo,Gadepally,Senior Engineer,1990-10-20,9999-01-01,1985-10-20,1953-10-09
14513,Samphel,Barreiro,Senior Staff,1985-07-28,9999-01-01,1985-07-28,1953-08-02
14556,Fatemeh,Zultner,Engineer,1994-12-26,9999-01-01,1985-04-18,1954-08-27
14560,Elrique,Driscoll,Senior Engineer,1993-05-21,9999-01-01,1985-05-21,1952-03-15
14582,Kiyokazu,Morrin,Senior Engineer,1999-04-08,9999-01-01,1985-06-26,1954-06-07
14640,Toshimori,Kornatzky,Senior Engineer,1998-05-20,9999-01-01,1985-05-07,1952-10-17
14659,Sashi,Adachi,Senior Engineer,1990-03-16,9999-01-01,1985-03-16,1952-11-19
14723,Constantino,Assaf,Senior Staff,2002-06-01,9999-01-01,1985-05-24,1953-08-23
14785,Zhonghua,Kaiser,Senior Engineer,1988-06-23,9999-01-01,1985-10-15,1955-04-23
14899,Alejandro,Casley,Senior Staff,1991-02-22,9999-01-01,1985-02-22,1954-02-26
14908,Kerhong,Flanders,Senior Engineer,1997-09-17,9999-01-01,1985-03-25,1952-05-27
14911,Xiaobin,Chelton,Senior Engineer,1994-04-06,9999-01-01,1985-12-30,1952-10-20
14915,Huican,Picco,Engineer,1994-07-03,9999-01-01,1985-02-26,1952-05-20
14923,Shuzo,Gyorkos,Technique Leader,1985-05-15,9999-01-01,1985-05-15,1953-10-08
14928,Satoru,Mukaidono,Senior Staff,1985-05-17,9999-01-01,1985-05-17,1955-06-23
14971,Fan,Simmen,Senior Staff,1991-03-25,9999-01-01,1985-12-02,1955-04-07
15018,Ramalingam,Prenel,Senior Staff,1999-03-11,9999-01-01,1985-02-28,1954-08-08
15036,Ziva,Delgrande,Senior Engineer,1994-11-04,9999-01-01,1985-05-18,1953-04-22
15052,Flemming,Kranzdorf,Senior Engineer,1993-01-27,9999-01-01,1985-04-05,1955-02-03
15055,Shrikanth,Sherertz,Senior Staff,1997-07-15,9999-01-01,1985-11-23,1953-03-26
15066,Tomokazu,Oaver,Senior Engineer,2002-06-29,9999-01-01,1985-06-25,1953-06-03
15092,Remmert,Bahi,Senior Staff,1986-05-26,9999-01-01,1985-08-12,1955-06-22
15208,Sudharsan,Shokrollahi,Senior Staff,1994-04-18,9999-01-01,1985-03-22,1954-08-17
15218,Shuky,Conry,Senior Staff,2001-08-10,9999-01-01,1985-12-22,1955-05-30
15253,Ayonca,Pardalos,Senior Engineer,1992-06-06,9999-01-01,1985-06-06,1954-03-17
15343,Chaosheng,Luce,Senior Engineer,1992-03-12,9999-01-01,1985-03-12,1955-05-21
15354,Chikara,Nyrup,Staff,1994-10-18,9999-01-01,1985-02-18,1954-10-08
15375,Shuho,Manders,Senior Staff,2000-11-02,9999-01-01,1985-03-01,1953-02-14
15382,Alassane,Siegrist,Senior Staff,1992-12-26,9999-01-01,1985-12-26,1952-07-28
15392,Pradeep,Markovitch,Assistant Engineer,1994-07-04,9999-01-01,1985-12-17,1955-02-07
15412,Huai,Thiria,Senior Engineer,1992-08-23,9999-01-01,1985-08-23,1954-05-17
15452,Kazuhira,Weedman,Engineer,1995-05-11,9999-01-01,1985-04-16,1954-01-14
15474,Gilbert,Plumb,Senior Staff,1994-12-04,9999-01-01,1985-06-30,1953-09-21
15480,Kwok,Trogemann,Senior Engineer,1999-04-29,9999-01-01,1985-04-07,1955-08-06
15511,George,Kowalchuk,Senior Staff,1986-04-20,9999-01-01,1985-05-11,1955-12-29
15525,Masadi,Cherinka,Senior Engineer,2001-04-27,9999-01-01,1985-11-18,1952-02-18
15548,Sanjai,Caine,Senior Engineer,1997-05-08,9999-01-01,1985-10-26,1954-12-07
15600,Mack,Perna,Senior Engineer,1994-04-26,9999-01-01,1985-04-26,1954-01-17
15651,Huan,Iwayama,Senior Engineer,2001-11-22,9999-01-01,1985-11-22,1955-07-15
15703,Chenye,Hanratty,Engineer,1994-12-06,9999-01-01,1985-11-18,1955-05-02
15726,Zhilian,Parascandalo,Senior Staff,2001-08-28,9999-01-01,1985-07-03,1954-12-23
15767,Baocai,Broomell,Senior Engineer,1999-06-09,9999-01-01,1985-06-08,1954-07-30
15876,Munehiro,Vakili,Senior Engineer,1999-08-03,9999-01-01,1985-08-02,1952-09-13
15902,Kazuhide,Stille,Senior Staff,1993-03-23,9999-01-01,1985-06-27,1954-09-09
15934,Kensyu,Shinomoto,Assistant Engineer,1995-08-20,9999-01-01,1985-11-21,1955-02-06
15977,King,Ballarin,Senior Staff,2000-11-02,9999-01-01,1985-11-06,1955-04-30
16000,Marek,Demos,Senior Engineer,2002-05-05,9999-01-01,1985-04-03,1952-02-09
16019,Chaoyi,Heystek,Senior Engineer,1990-08-01,9999-01-01,1985-08-01,1955-11-30
16025,Doowon,Luce,Senior Engineer,1994-03-05,9999-01-01,1985-08-17,1952-04-06
16052,Maria,Rodham,Senior Engineer,1997-01-26,9999-01-01,1985-11-24,1952-06-13
16066,Marsha,Penn,Senior Staff,1993-09-16,9999-01-01,1985-09-16,1952-12-05
16076,Marko,Ebeling,Engineer,1997-08-06,9999-01-01,1985-12-21,1954-11-04
16094,Berto,Rosar,Senior Engineer,1999-07-18,9999-01-01,1985-08-31,1953-04-14
16227,Hitomi,Vural,Senior Engineer,1993-09-25,9999-01-01,1985-09-25,1953-09-30
16230,Ung,Babu,Senior Staff,1996-02-19,9999-01-01,1985-08-08,1955-07-16
16246,Makato,Masaki,Engineer,1996-10-10,9999-01-01,1985-06-25,1954-08-18
16266,Mikhail,Sethi,Senior Staff,1985-10-25,9999-01-01,1985-10-25,1952-03-12
16341,Boutros,Fendler,Senior Staff,1999-12-08,9999-01-01,1985-11-01,1955-09-18
16355,Nikolaos,Luca,Senior Staff,1992-06-30,9999-01-01,1985-09-02,1953-03-16
16365,Janalee,Mellouli,Senior Staff,1990-04-27,9999-01-01,1985-04-27,1954-04-29
16397,Shimshon,Cusworth,Senior Staff,1990-05-24,9999-01-01,1985-05-24,1953-12-22
16438,Abdulla,Demeyer,Senior Engineer,1996-04-08,9999-01-01,1985-05-17,1953-03-31
16448,Tsvetan,Zwicker,Senior Engineer,1999-04-26,9999-01-01,1985-02-15,1953-02-19
16487,Arunas,Yemenis,Senior Staff,2001-10-18,9999-01-01,1985-10-24,1955-01-09
16549,Olivera,Thibadeau,Senior Staff,2000-03-02,9999-01-01,1985-07-06,1953-11-24
16716,Ramachenga,Zumaque,Engineer,2000-02-02,9999-01-01,1985-10-22,1952-04-16
16803,Ziva,Rohrbach,Engineer,1994-03-14,9999-01-01,1985-03-14,1954-11-12
16851,Leon,Stasinski,Senior Staff,1992-03-10,9999-01-01,1985-06-09,1953-08-09
16852,Yefim,Fontet,Senior Engineer,1993-05-14,9999-01-01,1985-05-14,1953-09-14
16862,JiYoung,Eppinger,Senior Engineer,1992-04-26,9999-01-01,1985-04-06,1955-11-03
16897,Charlene,Ebeling,Technique Leader,1989-09-13,9999-01-01,1985-12-08,1953-05-07
16955,Sangeeta,Marrakchi,Senior Staff,2001-03-14,9999-01-01,1985-05-22,1955-09-05
16986,Hirochika,Gecseg,Senior Engineer,1993-05-09,9999-01-01,1985-06-12,1952-10-28
17012,Valdiodio,Petereit,Senior Engineer,1998-11-02,9999-01-01,1985-11-04,1953-03-29
17063,Anoosh,Thiran,Senior Staff,1992-12-12,9999-01-01,1985-12-12,1952-05-18
17081,Weiru,Murtafg,Senior Engineer,1992-12-28,9999-01-01,1985-12-28,1952-05-01
17089,Rafail,Erman,Senior Staff,1991-04-10,9999-01-01,1985-04-10,1954-02-08
17102,Radhika,Garnick,Staff,1998-01-16,9999-01-01,1985-04-03,1954-01-23
17103,Takahiro,Feldmann,Senior Engineer,1993-10-07,9999-01-01,1985-05-09,1953-04-03
17125,Akhilish,Zweizig,Senior Engineer,2001-10-17,9999-01-01,1985-10-17,1953-02-09
17143,Ziyad,Munke,Senior Engineer,1985-09-10,9999-01-01,1985-09-10,1955-06-21
17215,Junichi,Langford,Senior Engineer,1996-06-17,9999-01-01,1985-03-07,1953-08-22
17235,Ronnie,Rissanen,Senior Engineer,1998-03-24,9999-01-01,1985-06-13,1954-02-14
17294,Shrikanth,Pietrzykowski,Senior Engineer,1994-08-17,9999-01-01,1985-12-22,1955-11-22
17339,Fan,Mullainathan,Engineer,1999-10-03,9999-01-01,1985-03-11,1953-12-07
17340,Yurii,Brookman,Senior Staff,1992-07-05,9999-01-01,1985-07-05,1954-08-09
17384,Youngkon,Nooteboom,Senior Staff,1997-04-04,9999-01-01,1985-11-02,1954-12-11
17436,Chirstian,Munawer,Senior Staff,1985-08-12,9999-01-01,1985-08-12,1954-10-08
17505,Gunilla,Moffat,Senior Engineer,1994-02-21,9999-01-01,1985-04-09,1955-03-11
17559,Annemarie,Papastamatiou,Senior Engineer,1993-09-04,9999-01-01,1985-08-23,1953-12-01
17584,Emdad,Coorg,Senior Staff,1994-03-15,9999-01-01,1985-03-10,1955-01-13
17629,Mostafa,Winter,Senior Staff,1987-11-22,9999-01-01,1985-09-25,1952-02-11
17699,Radhia,Heping,Senior Engineer,1993-07-21,9999-01-01,1985-04-19,1953-10-03
17705,Toshimo,Mellouli,Technique Leader,1985-08-14,9999-01-01,1985-08-14,1952-04-05
17728,Tsuneo,Lienhardt,Staff,1998-02-19,9999-01-01,1985-05-30,1953-10-31
17745,Hatem,Schreiter,Senior Engineer,1993-05-02,9999-01-01,1985-05-02,1953-10-17
17778,Chirstian,Matzov,Senior Staff,1998-02-12,9999-01-01,1985-04-29,1953-12-26
17834,Zhilian,Fiutem,Senior Engineer,2002-03-16,9999-01-01,1985-04-27,1953-12-17
17840,Tonny,Sherertz,Senior Engineer,1991-06-20,9999-01-01,1985-06-20,1954-11-07
18018,Sasan,Schrooten,Senior Staff,1992-12-10,9999-01-01,1985-12-10,1952-12-14
18065,Chriss,Wroclawski,Senior Staff,1986-06-18,9999-01-01,1985-06-27,1954-04-23
18108,Sanjai,Genin,Staff,1998-09-13,9999-01-01,1985-05-16,1952-02-14
18138,Moni,Baezner,Senior Staff,1992-08-05,9999-01-01,1985-08-05,1954-06-19
18210,Mabo,Radhakrishnan,Senior Engineer,2001-06-19,9999-01-01,1985-04-14,1954-09-10
18212,Constantino,Journel,Senior Staff,1992-04-30,9999-01-01,1985-04-30,1954-04-12
18237,Limsoon,Tramer,Engineer,1995-08-21,9999-01-01,1985-05-26,1953-03-10
18297,Guther,Nastansky,Senior Staff,1985-09-07,9999-01-01,1985-09-07,1953-07-19
18316,Hongzue,Msuda,Senior Engineer,1985-02-19,9999-01-01,1985-02-19,1953-02-02
18375,Gian,Debuse,Senior Staff,2001-04-28,9999-01-01,1985-04-09,1955-06-20
18382,Remko,Mattern,Senior Engineer,2002-01-30,9999-01-01,1985-04-18,1955-02-28
18402,Bernice,Ritzmann,Senior Staff,1991-05-02,9999-01-01,1985-04-11,1952-07-23
18438,Chiradeep,Iacovou,Engineer,1999-10-01,9999-01-01,1985-09-03,1953-12-29
18450,Takahito,Hoppenstand,Senior Staff,1993-05-19,9999-01-01,1985-05-19,1954-07-12
18511,Pascal,Marzano,Senior Engineer,2000-11-16,9999-01-01,1985-11-06,1955-01-29
18573,Zongyan,Baca,Staff,1998-04-16,9999-01-01,1985-04-26,1954-02-27
18580,Mabo,Bamford,Assistant Engineer,1997-09-18,9999-01-01,1985-12-08,1955-12-09
18663,Rafols,Sridhar,Senior Engineer,1992-06-19,9999-01-01,1985-10-27,1955-09-06
18701,Mori,Ratnakar,Senior Staff,1997-03-09,9999-01-01,1985-03-23,1953-04-16
18725,Cullen,Marchegay,Senior Staff,1998-08-04,9999-01-01,1985-12-02,1955-12-29
18784,Pohua,Hempstead,Senior Staff,1992-07-31,9999-01-01,1985-07-31,1953-07-28
18817,Kristin,Xiaoshan,Staff,1997-08-30,9999-01-01,1985-04-04,1954-08-03
18943,Anneli,Rando,Senior Staff,1990-04-18,9999-01-01,1985-04-18,1952-10-04
18946,Gio,Warwick,Senior Engineer,2002-06-01,9999-01-01,1985-02-03,1954-04-10
18979,Girolamo,Fujisawa,Senior Engineer,1985-12-29,9999-01-01,1985-12-29,1954-10-21
18994,Leszek,Mitsuhashi,Senior Staff,1991-09-03,9999-01-01,1985-09-03,1955-11-15
19006,Martina,Hempstead,Senior Engineer,1996-03-25,9999-01-01,1985-06-02,1953-02-04
19109,Jenwei,Denis,Senior Staff,1993-12-05,9999-01-01,1985-12-05,1955-04-05
19151,Jeanne,Peral,Senior Staff,1999-10-07,9999-01-01,1985-02-08,1953-06-28
19160,Tetsurou,Jervis,Senior Staff,1986-07-25,9999-01-01,1985-10-11,1955-07-23
19206,Wanqing,Pellegrinelli,Senior Engineer,1995-10-06,9999-01-01,1985-10-20,1954-11-25
19353,Mayumi,Schaar,Senior Engineer,1985-10-28,9999-01-01,1985-10-28,1952-07-31
19356,Masato,Prenel,Senior Staff,1985-12-29,9999-01-01,1985-12-29,1953-07-01
19397,Arnd,Diderrich,Senior Staff,1995-12-01,9999-01-01,1985-03-14,1955-05-27
19422,Florian,Budinsky,Senior Engineer,2002-04-18,9999-01-01,1985-07-03,1955-06-29
19454,Taisook,Hutter,Senior Staff,1985-02-26,9999-01-01,1985-02-26,1955-05-14
19488,Maris,Perly,Senior Engineer,1993-06-16,9999-01-01,1985-10-28,1955-06-02
19515,Keiichiro,Gurbaxani,Senior Engineer,1992-11-21,9999-01-01,1985-11-21,1952-02-10
19586,Hirochika,Minakawa,Senior Engineer,1985-10-02,9999-01-01,1985-10-02,1952-12-09
19624,Younwoo,Wolniewicz,Senior Staff,1992-11-11,9999-01-01,1985-11-11,1953-07-17
19633,Tayeb,Nourani,Senior Engineer,1996-02-08,9999-01-01,1985-08-08,1952-08-27
19637,Dipayan,Papastamatiou,Senior Engineer,1991-05-26,9999-01-01,1985-05-26,1955-03-16
19653,Gay,Crooks,Technique Leader,1985-03-26,9999-01-01,1985-03-26,1953-05-17
19669,Shem,Honiden,Senior Staff,1992-10-29,9999-01-01,1985-10-29,1954-09-05
19674,Mart,Varley,Senior Staff,2002-02-05,9999-01-01,1985-11-03,1953-03-04
19709,Xiaopeng,Asmuth,Senior Engineer,1986-03-22,9999-01-01,1985-12-12,1954-10-03
19738,Giri,Sury,Senior Staff,1997-12-21,9999-01-01,1985-02-26,1955-04-17
19744,Aleksander,Skafidas,Senior Engineer,2002-06-13,9999-01-01,1985-04-30,1953-11-07
19758,Rildo,Birdsall,Senior Engineer,1990-04-26,9999-01-01,1985-04-26,1953-06-22
19766,Saeed,Munke,Senior Staff,1994-10-22,9999-01-01,1985-10-22,1955-07-01
19826,Fox,Christ,Senior Staff,1985-05-08,9999-01-01,1985-05-08,1953-08-20
19828,Dannz,Maliniak,Senior Engineer,1992-06-06,9999-01-01,1985-06-06,1953-03-17
